"Category","Product Code","Product Name","Consumer Fit","Recommended Budget Input","Annual USD Input","Monthly USD Input","Currency Options","Payment Modes","Premium Paying Years","Coverage Term","Premium Field","Amount Field","Notes"
"終身壽險","IBW41","綻放人生收益壽險計劃(簡易版)","Fits monthly or annual USD budget","Use USD 1,300 monthly for monthly quote; use USD 15,600 annually for annual quote","15600","1300","人民幣=01 | 港幣=13 | 美元=14","月繳=1 | 季繳=3 | 半年繳=6 | 年繳=12","5=5 | 8=8 | 12=12 | 20=20","100=100","基本保費","名義金額(保額)",""
"終身壽險","IBW55","家傳戶曉終身壽險計劃","Fits monthly or annual USD budget","Use USD 1,300 monthly for monthly quote; use USD 15,600 annually for annual quote","15600","1300","人民幣=01 | 港幣=13 | 美元=14","月繳=1 | 季繳=3 | 半年繳=6 | 年繳=12","10=10 | 20=20","終身=130","基本保費","基本保額",""
"終身壽險","IBW61","百年傳承終身保險計劃 II – 精選","Single-premium only","Only use USD 15,600 if treating the budget as a one-off lump sum","15600","","美元=14","躉繳=0","躉繳=1000","終身=130","基本保費","基本保額","Not a recurring annual/monthly contribution structure."
"終身壽險","IBW62","百年傳承終身保險計劃 II – 優越","Single-premium only","Only use USD 15,600 if treating the budget as a one-off lump sum","15600","","美元=14","躉繳=0","躉繳=1000","終身=130","基本保費","基本保額","Not a recurring annual/monthly contribution structure."
"終身壽險","IBW64","百年傳承終身保險計劃 II – 卓越","Single-premium only","Only use USD 15,600 if treating the budget as a one-off lump sum","15600","","美元=14","躉繳=0","躉繳=1000","終身=130","基本保費","基本保額","Not a recurring annual/monthly contribution structure."
"終身壽險","IBW65","薪火傳承環球終身壽險計劃","Fits monthly or annual USD budget","Use USD 1,300 monthly for monthly quote; use USD 15,600 annually for annual quote","15600","1300","人民幣=01 | 英鎊=12 | 港幣=13 | 美元=14 | 新加坡元=18 | 加元=28 | 澳元=29 | 歐羅=38","躉繳=0 | 月繳=1 | 季繳=3 | 半年繳=6 | 年繳=12","2=2 | 3=3 | 5=5 | 10=10","終身=130","基本保費","名義金額(保額)",""
"終身壽險","IBW66","鑄富世代環球終身壽險計劃","Fits monthly or annual USD budget","Use USD 1,300 monthly for monthly quote; use USD 15,600 annually for annual quote","15600","1300","人民幣=01 | 港幣=13 | 美元=14","月繳=1 | 季繳=3 | 半年繳=6 | 年繳=12","5=5","終身=130","基本保費","名義金額(保額)",""
"終身壽險","IBW68","寰御安心環球終身保險計劃","Fits monthly or annual USD budget","Use USD 1,300 monthly for monthly quote; use USD 15,600 annually for annual quote","15600","1300","人民幣=01 | 港幣=13 | 美元=14","月繳=1 | 季繳=3 | 半年繳=6 | 年繳=12","2=2 | 5=5","終身=130","基本保費","名義金額(保額)",""
"終身壽險","IBW69","薪粹傳承環球終身保險計劃","Fits monthly or annual USD budget","Use USD 1,300 monthly for monthly quote; use USD 15,600 annually for annual quote","15600","1300","人民幣=01 | 英鎊=12 | 港幣=13 | 美元=14 | 新加坡元=18 | 加元=28 | 澳元=29 | 歐羅=38","躉繳=0 | 月繳=1 | 季繳=3 | 半年繳=6 | 年繳=12","2=2 | 3=3 | 5=5 | 10=10","終身=130","基本保費","名義金額(保額)",""
"儲蓄壽險","IBE65","精選目標五年保險計劃","Not USD budget fit","Skip for USD 15,600 / month USD 1,300 scenario","","","人民幣=01","年繳=12","2=2","5=5","基本保費","","Portal currency options do not include USD."
"儲蓄壽險","IBE66","守躍保險計劃","Fits annual USD budget only","Use USD 15,600 annual premium","15600","","人民幣=01 | 港幣=13 | 美元=14","年繳=12","2=2","8=8","基本保費","","Monthly mode is not available in the extracted portal options."
"儲蓄壽險","IBN12","目標三年保險計劃","Fits annual USD budget only","Use USD 15,600 annual premium","15600","","人民幣=01 | 美元=14","年繳=12","2=2","3=3","基本保費","名義金額(保額)","Monthly mode is not available in the extracted portal options."
