capture_date,insurer,product_family_id,product_name_zh,category,comparison_bucket,payment_mode,payment_term_years,policy_year,age,total_paid,guaranteed_cash_value,reversionary_bonus_cash_value,terminal_bonus_cash_value,total_surrender_value,surrender_to_paid_pct,guaranteed_to_paid_pct,pdf_file
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,1,31,33870,27775,50,0,27825,82.152347,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,2,32,33870,27775,101,0,27876,82.302923,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,3,33,33870,27775,155,500,28430,83.938589,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,4,34,33870,27775,211,3500,31486,92.961323,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,5,35,33870,27775,269,4500,32544,96.085031,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,6,36,33870,27775,329,6500,34604,102.16711,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,7,37,33870,27775,391,7000,35166,103.826395,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,8,38,33870,27775,456,7500,35731,105.494538,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,9,39,33870,27775,523,8500,36798,108.644818,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,10,40,33870,27775,593,9500,37868,111.803956,82.004724,20260511_FWD_LIFESAVING_CreativeFortunePlusII_FORCEDMIN500000_SINGLE.pdf
