capture_date,insurer,product_family_id,product_name_zh,category,comparison_bucket,payment_mode,payment_term_years,policy_year,age,total_paid,guaranteed_cash_value,reversionary_bonus_cash_value,terminal_bonus_cash_value,total_surrender_value,surrender_to_paid_pct,guaranteed_to_paid_pct,pdf_file
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,1,31,71300,58471,63,0,58534,82.095372,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,2,32,71300,58471,128,0,58600,82.187938,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,3,33,71300,58471,196,2530,61198,85.831697,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,4,34,71300,58471,267,2530,61269,85.931276,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,5,35,71300,58471,340,2530,61342,86.033661,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,6,36,71300,58471,416,3163,62051,87.02805,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,7,37,71300,58471,495,3163,62130,87.13885,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,8,38,71300,58471,577,3163,62212,87.253857,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,9,39,71300,58471,662,3163,62297,87.373072,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,10,40,71300,58471,750,4428,63650,89.270687,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
2026-05-11,FWD,fwd_creative_fortune_plus,創逸致富 (豐裕版),life-savings,OUT_OF_SCOPE,SINGLE,1,11,41,71300,58471,842,5060,64374,90.286115,82.007013,20260511_FWD_LIFESAVING_CreativeFortunePlus_USD632603_SINGLE.pdf
