capture_date,insurer,product_family_id,product_name_zh,category,comparison_bucket,payment_mode,payment_term_years,policy_year,age,total_paid,guaranteed_cash_value,reversionary_bonus_cash_value,terminal_bonus_cash_value,total_surrender_value,surrender_to_paid_pct,guaranteed_to_paid_pct,pdf_file
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,1,31,15600,7800,0,0,7800,50.0,50.0,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,2,32,31200,15600,436,0,16036,51.397436,50.0,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,3,33,31200,18174,1313,4992,24479,78.458333,58.25,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,4,34,31200,19188,2198,5928,27314,87.544872,61.5,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,5,35,31200,20202,3089,9344,32635,104.599359,64.75,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,6,36,31200,21216,3987,9500,34703,111.227564,68.0,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,7,37,31200,22230,4893,10093,37216,119.282051,71.25,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,8,38,31200,22246,5805,11606,39658,127.108974,71.301282,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,9,39,31200,22261,6725,13119,42107,134.958333,71.349359,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,10,40,31200,22686,7653,16208,46548,149.192308,72.711538,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,11,41,31200,23287,8588,17768,49643,159.112179,74.637821,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,12,42,31200,24168,9530,19453,53151,170.355769,77.461538,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,13,43,31200,25358,10480,21325,57163,183.214744,81.275641,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,14,44,31200,26897,11437,24897,63232,202.666667,86.208333,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,15,45,31200,28837,12402,25677,66917,214.477564,92.426282,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,16,46,31200,31248,13375,28002,72625,232.772436,100.153846,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,17,47,31200,31290,14356,33477,79123,253.599359,100.288462,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,18,48,31200,31336,15344,39858,86539,277.36859,100.435897,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,19,49,31200,31388,16340,44647,92376,296.076923,100.602564,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,20,50,31200,31444,17345,49888,98678,316.275641,100.782051,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
2026-05-11,FWD,fwd_fortune_world_ii,盈聚‧天下 II 保險計劃,savings,2Y_ANNUAL,ANNUAL,2,21,51,31200,31560,18357,55816,105734,338.891026,101.153846,20260511_FWD_SAVING_FortuneWorldII_USD15600_ANNUAL_2pay.pdf
