capture_date,insurer,product_family_id,product_name_zh,category,comparison_bucket,payment_mode,payment_term_years,policy_year,age,total_paid,guaranteed_cash_value,reversionary_bonus_cash_value,terminal_bonus_cash_value,total_surrender_value,surrender_to_paid_pct,guaranteed_to_paid_pct,pdf_file
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,1,31,33870,27775,50,0,27825,82.1523,82.0047,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,2,32,33870,27775,101,0,27876,82.3029,82.0047,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,3,33,33870,27775,155,500,28430,83.9386,82.0047,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,4,34,33870,27775,211,3500,31486,92.9613,82.0047,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,5,35,33870,27775,269,4500,32544,96.085,82.0047,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,10,40,33870,27775,593,9500,37868,111.804,82.0047,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,15,45,33870,27775,982,12500,41257,121.8099,82.0047,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,20,50,33870,33870,1500,15500,50870,150.1919,100,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,25,55,33870,33870,2343,25000,61213,180.7293,100,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_plus_ii,創逸致富(豐裕版) II 保險計劃,life-savings,OUT_OF_SCOPE,SINGLE,1,30,60,33870,33870,3405,36000,73275,216.3419,100,20260510_FWD_LIFESAVING_CreativeFortunePlusII_USD33870_SINGLE_minSI500000.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,1,32,15600,0,81,0,81,0.52,0,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,2,33,31200,2813,165,0,2978,9.54,9.02,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,3,34,46800,8424,252,1621,10298,22,18,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,4,35,62400,16848,343,4054,21245,34.05,27,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,5,36,78000,28086,436,7297,35820,45.92,36.01,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,6,37,93600,42121,534,10540,53196,56.83,45,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,7,38,109200,58970,635,13783,73389,67.21,54,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,8,39,124800,78624,740,17027,96391,77.24,63,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,9,40,140400,101091,849,20270,122211,87.04,72,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,10,41,156000,127921,962,22702,151586,97.17,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,11,42,156000,127921,1079,25945,154947,99.33,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,12,43,156000,127921,1200,29189,158311,101.48,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,13,44,156000,127921,1327,32432,161681,103.64,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,14,45,156000,127921,1457,35675,165055,105.8,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,15,46,156000,127921,1593,40540,170055,109.01,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,16,47,156000,127921,1734,47027,176683,113.26,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,17,48,156000,127921,1880,55135,184937,118.55,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,18,49,156000,127921,2032,64864,194818,124.88,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,19,50,156000,127921,2189,77027,207138,132.78,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,20,51,156000,127921,2433,92432,222787,142.81,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,21,52,156000,127921,2687,105405,236014,151.29,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,22,53,156000,127921,2950,113513,244385,156.66,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,23,54,156000,127921,3223,122432,253577,162.55,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,24,55,156000,127921,3506,132162,263589,168.97,82,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,25,56,156000,156000,3799,137027,296826,190.27,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,26,57,156000,156000,4104,151621,311726,199.82,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,27,58,156000,156000,4420,170270,330690,211.98,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,28,59,156000,156000,4748,191351,352099,225.7,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,29,60,156000,156000,5169,214864,376034,241.05,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,30,61,156000,156000,5687,241621,403309,258.53,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,31,62,156000,156000,6306,257027,419333,268.8,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,32,63,156000,156000,7029,272432,435462,279.14,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
2026-05-11,FWD,fwd_creative_fortune_premier,創逸致富﹙豐盛版﹚,life-savings,10Y_ANNUAL,ANNUAL,10,33,64,156000,156000,7779,288648,452428,290.02,100,20260511_FWD_LIFESAVING_CreativeFortunePremier_PREMIUM15600_ANNUAL_10pay.pdf
